Date,Start (ET),Visitor team,Visitor team's points,Home team,Home team's points,Attendance,Arena,Notes
"Wed, Mar 29, 2023",7:00p,Milwaukee Bucks,149,Indiana Pacers,136,"16,524",Gainbridge Fieldhouse,Regular Season
"Wed, Mar 29, 2023",7:30p,Houston Rockets,114,Brooklyn Nets,123,"17,074",Barclays Center,Regular Season
"Wed, Mar 29, 2023",7:30p,Miami Heat,92,New York Knicks,101,"19,812",Madison Square Garden (IV),Regular Season
"Wed, Mar 29, 2023",7:30p,Dallas Mavericks,108,Philadelphia 76ers,116,"20,583",Wells Fargo Center,Regular Season
"Wed, Mar 29, 2023",8:00p,Los Angeles Lakers,121,Chicago Bulls,110,"21,739",United Center,Regular Season
"Wed, Mar 29, 2023",8:00p,Los Angeles Clippers,141,Memphis Grizzlies,132,"16,775",FedEx Forum,Regular Season
"Wed, Mar 29, 2023",8:00p,Detroit Pistons,106,Oklahoma City Thunder,107,"15,047",Paycom Center,Regular Season
"Wed, Mar 29, 2023",8:00p,Utah Jazz,128,San Antonio Spurs,117,"18,354",AT&T Center,Regular Season
"Wed, Mar 29, 2023",10:00p,Minnesota Timberwolves,100,Phoenix Suns,107,"17,071",Footprint Center,Regular Season
"Wed, Mar 29, 2023",10:00p,Sacramento Kings,120,Portland Trail Blazers,80,"18,550",Moda Center,Regular Season
"Thu, Mar 30, 2023",7:30p,Boston Celtics,140,Milwaukee Bucks,99,"18,073",Fiserv Forum,Regular Season
"Thu, Mar 30, 2023",10:00p,New Orleans Pelicans,107,Denver Nuggets,88,"19,728",Ball Arena,Regular Season
"Fri, Mar 31, 2023",7:00p,Chicago Bulls,121,Charlotte Hornets,91,"18,768",Spectrum Center,Regular Season
"Fri, Mar 31, 2023",7:00p,Oklahoma City Thunder,117,Indiana Pacers,121,"16,506",Gainbridge Fieldhouse,Regular Season
"Fri, Mar 31, 2023",7:00p,Toronto Raptors,110,Philadelphia 76ers,117,"20,993",Wells Fargo Center,Regular Season
"Fri, Mar 31, 2023",7:00p,Orlando Magic,116,Washington Wizards,109,"16,411",Capital One Arena,Regular Season
"Fri, Mar 31, 2023",7:30p,Utah Jazz,114,Boston Celtics,122,"19,156",TD Garden,Regular Season
"Fri, Mar 31, 2023",7:30p,Atlanta Hawks,107,Brooklyn Nets,124,"17,849",Barclays Center,Regular Season
"Fri, Mar 31, 2023",7:30p,New York Knicks,130,Cleveland Cavaliers,116,"19,432",Rocket Mortgage Fieldhouse,Regular Season
"Fri, Mar 31, 2023",8:00p,Detroit Pistons,115,Houston Rockets,121,"15,844",Toyota Center,Regular Season
"Fri, Mar 31, 2023",8:00p,Los Angeles Clippers,94,Memphis Grizzlies,108,"16,376",FedEx Forum,Regular Season
"Fri, Mar 31, 2023",8:00p,Los Angeles Lakers,123,Minnesota Timberwolves,111,"18,978",Target Center,Regular Season
"Fri, Mar 31, 2023",10:00p,San Antonio Spurs,115,Golden State Warriors,130,"18,064",Chase Center,Regular Season
"Fri, Mar 31, 2023",10:00p,Sacramento Kings,138,Portland Trail Blazers,114,"18,389",Moda Center,Regular Season
"Fri, Mar 31, 2023",10:30p,Denver Nuggets,93,Phoenix Suns,100,"17,071",Footprint Center,Regular Season
"Sat, Apr 1, 2023",7:30p,Dallas Mavericks,122,Miami Heat,129,"20,011",Kaseya Center,Regular Season
"Sat, Apr 1, 2023",8:30p,Los Angeles Clippers,114,New Orleans Pelicans,122,"18,399",Smoothie King Center,Regular Season
"Sun, Apr 2, 2023",1:00p,Toronto Raptors,128,Charlotte Hornets,108,"16,052",Spectrum Center,Regular Season
"Sun, Apr 2, 2023",3:30p,Utah Jazz,110,Brooklyn Nets,111,"17,732",Barclays Center,Regular Season
"Sun, Apr 2, 2023",3:30p,Memphis Grizzlies,107,Chicago Bulls,128,"20,944",United Center,Regular Season
"Sun, Apr 2, 2023",3:30p,Portland Trail Blazers,107,Minnesota Timberwolves,105,"18,978",Target Center,Regular Season
"Sun, Apr 2, 2023",6:00p,Dallas Mavericks,130,Atlanta Hawks,132,"17,678",State Farm Arena,Regular Season
"Sun, Apr 2, 2023",6:00p,Washington Wizards,109,New York Knicks,118,"19,812",Madison Square Garden (IV),Regular Season
"Sun, Apr 2, 2023",6:00p,Detroit Pistons,102,Orlando Magic,128,"19,431",Amway Center,Regular Season
"Sun, Apr 2, 2023",6:00p,San Antonio Spurs,142,Sacramento Kings,134,"18,183",Golden 1 Center,Regular Season
"Sun, Apr 2, 2023",7:00p,Los Angeles Lakers,134,Houston Rockets,109,"18,204",Toyota Center,Regular Season
"Sun, Apr 2, 2023",7:00p,Phoenix Suns,128,Oklahoma City Thunder,118,"17,981",Paycom Center,Regular Season
"Sun, Apr 2, 2023",8:00p,Indiana Pacers,105,Cleveland Cavaliers,115,"19,432",Rocket Mortgage Fieldhouse,Regular Season
"Sun, Apr 2, 2023",8:00p,Philadelphia 76ers,104,Milwaukee Bucks,117,"17,532",Fiserv Forum,Regular Season
"Sun, Apr 2, 2023",8:30p,Golden State Warriors,110,Denver Nuggets,112,"19,752",Ball Arena,Regular Season
"Tue, Apr 4, 2023",7:00p,Toronto Raptors,120,Charlotte Hornets,100,"14,965",Spectrum Center,Regular Season
"Tue, Apr 4, 2023",7:00p,Miami Heat,118,Detroit Pistons,105,"18,453",Little Caesars Arena,Regular Season
"Tue, Apr 4, 2023",7:00p,Cleveland Cavaliers,117,Orlando Magic,113,"19,449",Amway Center,Regular Season
"Tue, Apr 4, 2023",7:00p,Milwaukee Bucks,140,Washington Wizards,128,"19,098",Capital One Arena,Regular Season
"Tue, Apr 4, 2023",7:30p,Minnesota Timberwolves,107,Brooklyn Nets,102,"17,893",Barclays Center,Regular Season
"Tue, Apr 4, 2023",8:00p,Atlanta Hawks,123,Chicago Bulls,105,"21,717",United Center,Regular Season
"Tue, Apr 4, 2023",8:00p,Denver Nuggets,103,Houston Rockets,124,"16,924",Toyota Center,Regular Season
"Tue, Apr 4, 2023",8:00p,Portland Trail Blazers,109,Memphis Grizzlies,119,"17,558",FedEx Forum,Regular Season
"Tue, Apr 4, 2023",8:00p,Sacramento Kings,121,New Orleans Pelicans,103,"15,799",Smoothie King Center,Regular Season
"Tue, Apr 4, 2023",8:00p,Boston Celtics,101,Philadelphia 76ers,103,"21,104",Wells Fargo Center,Regular Season
"Tue, Apr 4, 2023",9:00p,Los Angeles Lakers,135,Utah Jazz,133,"18,206",Vivint Arena,Regular Season
"Tue, Apr 4, 2023",10:00p,Oklahoma City Thunder,125,Golden State Warriors,136,"18,064",Chase Center,Regular Season
"Tue, Apr 4, 2023",10:00p,San Antonio Spurs,94,Phoenix Suns,115,"17,071",Footprint Center,Regular Season
"Wed, Apr 5, 2023",7:00p,Brooklyn Nets,123,Detroit Pistons,108,"18,313",Little Caesars Arena,Regular Season
"Wed, Apr 5, 2023",7:00p,New York Knicks,138,Indiana Pacers,129,"16,789",Gainbridge Fieldhouse,Regular Season
"Wed, Apr 5, 2023",7:30p,Washington Wizards,116,Atlanta Hawks,134,"17,727",State Farm Arena,Regular Season
"Wed, Apr 5, 2023",7:30p,Toronto Raptors,93,Boston Celtics,97,"19,156",TD Garden,Regular Season
"Wed, Apr 5, 2023",7:30p,Chicago Bulls,92,Milwaukee Bucks,105,"17,679",Fiserv Forum,Regular Season
"Wed, Apr 5, 2023",8:00p,Memphis Grizzlies,131,New Orleans Pelicans,138,"17,232",Smoothie King Center,Regular Season
"Wed, Apr 5, 2023",8:30p,Sacramento Kings,119,Dallas Mavericks,123,"20,271",American Airlines Center,Regular Season
"Wed, Apr 5, 2023",10:00p,Los Angeles Lakers,118,Los Angeles Clippers,125,"19,068",Crypto.com Arena,Regular Season
"Thu, Apr 6, 2023",7:00p,Cleveland Cavaliers,118,Orlando Magic,94,"19,235",Amway Center,Regular Season
"Thu, Apr 6, 2023",7:30p,Miami Heat,129,Philadelphia 76ers,101,"21,178",Wells Fargo Center,Regular Season
"Thu, Apr 6, 2023",8:00p,Portland Trail Blazers,127,San Antonio Spurs,129,"16,023",Moody Center,Regular Season
"Thu, Apr 6, 2023",9:00p,Oklahoma City Thunder,114,Utah Jazz,98,"18,206",Vivint Arena,Regular Season
"Thu, Apr 6, 2023",10:00p,Denver Nuggets,115,Phoenix Suns,119,"17,071",Footprint Center,Regular Season
"Fri, Apr 7, 2023",7:00p,Houston Rockets,112,Charlotte Hornets,109,"19,102",Spectrum Center,Regular Season
"Fri, Apr 7, 2023",7:00p,Detroit Pistons,122,Indiana Pacers,115,"17,274",Gainbridge Fieldhouse,Regular Season
"Fri, Apr 7, 2023",7:00p,Miami Heat,108,Washington Wizards,114,"20,476",Capital One Arena,Regular Season
"Fri, Apr 7, 2023",7:30p,Philadelphia 76ers,136,Atlanta Hawks,131,"17,627",State Farm Arena,Regular Season
"Fri, Apr 7, 2023",7:30p,Toronto Raptors,102,Boston Celtics,121,"19,156",TD Garden,Regular Season
"Fri, Apr 7, 2023",7:30p,Orlando Magic,84,Brooklyn Nets,101,"18,177",Barclays Center,Regular Season
"Fri, Apr 7, 2023",8:00p,Memphis Grizzlies,137,Milwaukee Bucks,114,"18,010",Fiserv Forum,Regular Season
"Fri, Apr 7, 2023",8:00p,New York Knicks,105,New Orleans Pelicans,113,"18,656",Smoothie King Center,Regular Season
"Fri, Apr 7, 2023",8:30p,Chicago Bulls,115,Dallas Mavericks,112,"20,313",American Airlines Center,Regular Season
"Fri, Apr 7, 2023",10:00p,Golden State Warriors,119,Sacramento Kings,97,"18,253",Golden 1 Center,Regular Season
"Fri, Apr 7, 2023",10:30p,Phoenix Suns,107,Los Angeles Lakers,121,"18,997",Crypto.com Arena,Regular Season
"Sat, Apr 8, 2023",3:30p,Denver Nuggets,114,Utah Jazz,118,"18,206",Vivint Arena,Regular Season
"Sat, Apr 8, 2023",4:00p,Portland Trail Blazers,125,Los Angeles Clippers,136,"19,068",Crypto.com Arena,Regular Season
"Sat, Apr 8, 2023",4:00p,Minnesota Timberwolves,151,San Antonio Spurs,131,"16,148",Moody Center,Regular Season
"Sun, Apr 9, 2023",1:00p,Atlanta Hawks,114,Boston Celtics,120,"19,156",TD Garden,Regular Season
"Sun, Apr 9, 2023",1:00p,Philadelphia 76ers,134,Brooklyn Nets,105,"17,732",Barclays Center,Regular Season
"Sun, Apr 9, 2023",1:00p,Detroit Pistons,81,Chicago Bulls,103,"21,530",United Center,Regular Season
"Sun, Apr 9, 2023",1:00p,Charlotte Hornets,106,Cleveland Cavaliers,95,"19,432",Rocket Mortgage Fieldhouse,Regular Season
"Sun, Apr 9, 2023",1:00p,Orlando Magic,110,Miami Heat,123,"19,894",Kaseya Center,Regular Season
"Sun, Apr 9, 2023",1:00p,Indiana Pacers,141,New York Knicks,136,"19,812",Madison Square Garden (IV),Regular Season
"Sun, Apr 9, 2023",1:00p,Milwaukee Bucks,105,Toronto Raptors,121,"19,800",Scotiabank Arena,Regular Season
"Sun, Apr 9, 2023",1:00p,Houston Rockets,114,Washington Wizards,109,"15,233",Capital One Arena,Regular Season
"Sun, Apr 9, 2023",3:30p,San Antonio Spurs,138,Dallas Mavericks,117,"20,141",American Airlines Center,Regular Season
"Sun, Apr 9, 2023",3:30p,Sacramento Kings,95,Denver Nuggets,109,"19,652",Ball Arena,Regular Season
"Sun, Apr 9, 2023",3:30p,Utah Jazz,117,Los Angeles Lakers,128,"18,997",Crypto.com Arena,Regular Season
"Sun, Apr 9, 2023",3:30p,New Orleans Pelicans,108,Minnesota Timberwolves,113,"18,978",Target Center,Regular Season
"Sun, Apr 9, 2023",3:30p,Memphis Grizzlies,100,Oklahoma City Thunder,115,"16,601",Paycom Center,Regular Season
"Sun, Apr 9, 2023",3:30p,Los Angeles Clippers,119,Phoenix Suns,114,"17,071",Footprint Center,Regular Season
"Sun, Apr 9, 2023",3:30p,Golden State Warriors,157,Portland Trail Blazers,101,"19,731",Moda Center,Regular Season
"Tue, Apr 11, 2023",7:30p,Atlanta Hawks,116,Miami Heat,105,"19,662",Kaseya Center,Play-In Game
"Tue, Apr 11, 2023",10:00p,Minnesota Timberwolves,102,Los Angeles Lakers,108,"18,997",Crypto.com Arena,Play-In Game
"Wed, Apr 12, 2023",7:00p,Chicago Bulls,109,Toronto Raptors,105,"19,800",Scotiabank Arena,Play-In Game
"Wed, Apr 12, 2023",9:30p,Oklahoma City Thunder,123,New Orleans Pelicans,118,"18,715",Smoothie King Center,Play-In Game
"Fri, Apr 14, 2023",7:00p,Chicago Bulls,91,Miami Heat,102,"19,678",Kaseya Center,Play-In Game
"Fri, Apr 14, 2023",9:30p,Oklahoma City Thunder,95,Minnesota Timberwolves,120,"19,304",Target Center,Play-In Game
"Sat, Apr 15, 2023",1:00p,Brooklyn Nets,101,Philadelphia 76ers,121,"20,913",Wells Fargo Center,Playoffs
"Sat, Apr 15, 2023",3:30p,Atlanta Hawks,99,Boston Celtics,112,"19,156",TD Garden,Playoffs
"Sat, Apr 15, 2023",6:00p,New York Knicks,101,Cleveland Cavaliers,97,"19,432",Rocket Mortgage Fieldhouse,Playoffs
"Sat, Apr 15, 2023",8:30p,Golden State Warriors,123,Sacramento Kings,126,"18,253",Golden 1 Center,Playoffs
"Sun, Apr 16, 2023",3:00p,Los Angeles Lakers,128,Memphis Grizzlies,112,"18,487",FedEx Forum,Playoffs
"Sun, Apr 16, 2023",5:30p,Miami Heat,130,Milwaukee Bucks,117,"17,381",Fiserv Forum,Playoffs
"Sun, Apr 16, 2023",8:00p,Los Angeles Clippers,115,Phoenix Suns,110,"17,071",Footprint Center,Playoffs
"Sun, Apr 16, 2023",10:30p,Minnesota Timberwolves,80,Denver Nuggets,109,"19,628",Ball Arena,Playoffs
"Mon, Apr 17, 2023",7:30p,Brooklyn Nets,84,Philadelphia 76ers,96,"20,958",Wells Fargo Center,Playoffs
"Mon, Apr 17, 2023",10:00p,Golden State Warriors,106,Sacramento Kings,114,"18,253",Golden 1 Center,Playoffs
"Tue, Apr 18, 2023",7:00p,Atlanta Hawks,106,Boston Celtics,119,"19,156",TD Garden,Playoffs
"Tue, Apr 18, 2023",7:30p,New York Knicks,90,Cleveland Cavaliers,107,"19,432",Rocket Mortgage Fieldhouse,Playoffs
"Tue, Apr 18, 2023",10:00p,Los Angeles Clippers,109,Phoenix Suns,123,"17,071",Footprint Center,Playoffs
"Wed, Apr 19, 2023",7:30p,Los Angeles Lakers,93,Memphis Grizzlies,103,"17,928",FedEx Forum,Playoffs
"Wed, Apr 19, 2023",9:00p,Miami Heat,122,Milwaukee Bucks,138,"17,576",Fiserv Forum,Playoffs
"Wed, Apr 19, 2023",10:00p,Minnesota Timberwolves,113,Denver Nuggets,122,"19,683",Ball Arena,Playoffs
"Thu, Apr 20, 2023",7:30p,Philadelphia 76ers,102,Brooklyn Nets,97,"17,910",Barclays Center,Playoffs
"Thu, Apr 20, 2023",10:00p,Sacramento Kings,97,Golden State Warriors,114,"18,064",Chase Center,Playoffs
"Thu, Apr 20, 2023",10:30p,Phoenix Suns,129,Los Angeles Clippers,124,"19,068",Crypto.com Arena,Playoffs
"Fri, Apr 21, 2023",7:00p,Boston Celtics,122,Atlanta Hawks,130,"18,536",State Farm Arena,Playoffs
"Fri, Apr 21, 2023",8:30p,Cleveland Cavaliers,79,New York Knicks,99,"19,812",Madison Square Garden (IV),Playoffs
"Fri, Apr 21, 2023",9:30p,Denver Nuggets,120,Minnesota Timberwolves,111,"19,536",Target Center,Playoffs
"Sat, Apr 22, 2023",1:00p,Philadelphia 76ers,96,Brooklyn Nets,88,"18,037",Barclays Center,Playoffs
"Sat, Apr 22, 2023",3:30p,Phoenix Suns,112,Los Angeles Clippers,100,"19,068",Crypto.com Arena,Playoffs
"Sat, Apr 22, 2023",7:30p,Milwaukee Bucks,99,Miami Heat,121,"19,734",Kaseya Center,Playoffs
"Sat, Apr 22, 2023",10:00p,Memphis Grizzlies,101,Los Angeles Lakers,111,"18,997",Crypto.com Arena,Playoffs
"Sun, Apr 23, 2023",1:00p,Cleveland Cavaliers,93,New York Knicks,102,"19,812",Madison Square Garden (IV),Playoffs
"Sun, Apr 23, 2023",3:30p,Sacramento Kings,125,Golden State Warriors,126,"18,064",Chase Center,Playoffs
"Sun, Apr 23, 2023",7:00p,Boston Celtics,129,Atlanta Hawks,121,"19,144",State Farm Arena,Playoffs
"Sun, Apr 23, 2023",9:30p,Denver Nuggets,108,Minnesota Timberwolves,114,"18,978",Target Center,Playoffs
"Mon, Apr 24, 2023",7:30p,Milwaukee Bucks,114,Miami Heat,119,"19,614",Kaseya Center,Playoffs
"Mon, Apr 24, 2023",10:00p,Memphis Grizzlies,111,Los Angeles Lakers,117,"18,997",Crypto.com Arena,Playoffs
"Tue, Apr 25, 2023",7:30p,Atlanta Hawks,119,Boston Celtics,117,"19,156",TD Garden,Playoffs
"Tue, Apr 25, 2023",9:00p,Minnesota Timberwolves,109,Denver Nuggets,112,"19,691",Ball Arena,Playoffs
"Tue, Apr 25, 2023",10:00p,Los Angeles Clippers,130,Phoenix Suns,136,"17,071",Footprint Center,Playoffs
"Wed, Apr 26, 2023",7:00p,New York Knicks,106,Cleveland Cavaliers,95,"19,432",Rocket Mortgage Fieldhouse,Playoffs
"Wed, Apr 26, 2023",7:30p,Los Angeles Lakers,99,Memphis Grizzlies,116,"18,117",FedEx Forum,Playoffs
"Wed, Apr 26, 2023",9:30p,Miami Heat,128,Milwaukee Bucks,126,"18,113",Fiserv Forum,Playoffs
"Wed, Apr 26, 2023",10:00p,Golden State Warriors,123,Sacramento Kings,116,"18,253",Golden 1 Center,Playoffs
"Thu, Apr 27, 2023",8:30p,Boston Celtics,128,Atlanta Hawks,120,"19,176",State Farm Arena,Playoffs
"Fri, Apr 28, 2023",8:00p,Sacramento Kings,118,Golden State Warriors,99,"18,064",Chase Center,Playoffs
"Fri, Apr 28, 2023",10:30p,Memphis Grizzlies,85,Los Angeles Lakers,125,"18,997",Crypto.com Arena,Playoffs
"Sat, Apr 29, 2023",8:30p,Phoenix Suns,107,Denver Nuggets,125,"19,762",Ball Arena,Playoffs
"Sun, Apr 30, 2023",1:00p,Miami Heat,108,New York Knicks,101,"19,812",Madison Square Garden (IV),Playoffs
"Sun, Apr 30, 2023",3:30p,Golden State Warriors,120,Sacramento Kings,100,"18,253",Golden 1 Center,Playoffs
"Mon, May 1, 2023",7:30p,Philadelphia 76ers,119,Boston Celtics,115,"19,156",TD Garden,Playoffs
"Mon, May 1, 2023",10:00p,Phoenix Suns,87,Denver Nuggets,97,"19,592",Ball Arena,Playoffs
"Tue, May 2, 2023",7:30p,Miami Heat,105,New York Knicks,111,"19,812",Madison Square Garden (IV),Playoffs
"Tue, May 2, 2023",10:00p,Los Angeles Lakers,117,Golden State Warriors,112,"18,064",Chase Center,Playoffs
"Wed, May 3, 2023",8:00p,Philadelphia 76ers,87,Boston Celtics,121,"19,156",TD Garden,Playoffs
"Thu, May 4, 2023",9:00p,Los Angeles Lakers,100,Golden State Warriors,127,"18,064",Chase Center,Playoffs
"Fri, May 5, 2023",7:30p,Boston Celtics,114,Philadelphia 76ers,102,"21,290",Wells Fargo Center,Playoffs
"Fri, May 5, 2023",10:00p,Denver Nuggets,114,Phoenix Suns,121,"17,071",Footprint Center,Playoffs
"Sat, May 6, 2023",3:30p,New York Knicks,86,Miami Heat,105,"19,927",Kaseya Center,Playoffs
"Sat, May 6, 2023",8:30p,Golden State Warriors,97,Los Angeles Lakers,127,"18,997",Crypto.com Arena,Playoffs
"Sun, May 7, 2023",3:30p,Boston Celtics,115,Philadelphia 76ers,116,"21,264",Wells Fargo Center,Playoffs
"Sun, May 7, 2023",8:00p,Denver Nuggets,124,Phoenix Suns,129,"17,071",Footprint Center,Playoffs
"Mon, May 8, 2023",7:30p,New York Knicks,101,Miami Heat,109,"19,769",Kaseya Center,Playoffs
"Mon, May 8, 2023",10:00p,Golden State Warriors,101,Los Angeles Lakers,104,"18,997",Crypto.com Arena,Playoffs
"Tue, May 9, 2023",7:30p,Philadelphia 76ers,115,Boston Celtics,103,"19,156",TD Garden,Playoffs
"Tue, May 9, 2023",10:00p,Phoenix Suns,102,Denver Nuggets,118,"19,773",Ball Arena,Playoffs
"Wed, May 10, 2023",7:30p,Miami Heat,103,New York Knicks,112,"19,812",Madison Square Garden (IV),Playoffs
"Wed, May 10, 2023",10:00p,Los Angeles Lakers,106,Golden State Warriors,121,"18,064",Chase Center,Playoffs
"Thu, May 11, 2023",7:30p,Boston Celtics,95,Philadelphia 76ers,86,"21,337",Wells Fargo Center,Playoffs
"Thu, May 11, 2023",10:00p,Denver Nuggets,125,Phoenix Suns,100,"17,071",Footprint Center,Playoffs
"Fri, May 12, 2023",7:30p,New York Knicks,92,Miami Heat,96,"19,737",Kaseya Center,Playoffs
"Fri, May 12, 2023",10:00p,Golden State Warriors,101,Los Angeles Lakers,122,"18,997",Crypto.com Arena,Playoffs
"Sun, May 14, 2023",3:30p,Philadelphia 76ers,88,Boston Celtics,112,"19,156",TD Garden,Playoffs
"Tue, May 16, 2023",8:30p,Los Angeles Lakers,126,Denver Nuggets,132,"19,633",Ball Arena,Playoffs
"Wed, May 17, 2023",8:30p,Miami Heat,123,Boston Celtics,116,"19,156",TD Garden,Playoffs
"Thu, May 18, 2023",8:30p,Los Angeles Lakers,103,Denver Nuggets,108,"19,742",Ball Arena,Playoffs
"Fri, May 19, 2023",8:30p,Miami Heat,111,Boston Celtics,105,"19,156",TD Garden,Playoffs
"Sat, May 20, 2023",8:30p,Denver Nuggets,119,Los Angeles Lakers,108,"18,997",Crypto.com Arena,Playoffs
"Sun, May 21, 2023",8:30p,Boston Celtics,102,Miami Heat,128,"20,088",Kaseya Center,Playoffs
"Mon, May 22, 2023",8:30p,Denver Nuggets,113,Los Angeles Lakers,111,"18,997",Crypto.com Arena,Playoffs
"Tue, May 23, 2023",8:30p,Boston Celtics,116,Miami Heat,99,"20,147",Kaseya Center,Playoffs
"Thu, May 25, 2023",8:30p,Miami Heat,97,Boston Celtics,110,"19,156",TD Garden,Playoffs
"Sat, May 27, 2023",8:30p,Boston Celtics,104,Miami Heat,103,"20,201",Kaseya Center,Playoffs
"Mon, May 29, 2023",8:30p,Miami Heat,103,Boston Celtics,84,"19,156",TD Garden,Playoffs
"Thu, Jun 1, 2023",8:30p,Miami Heat,93,Denver Nuggets,104,"19,528",Ball Arena,Playoffs
"Sun, Jun 4, 2023",8:00p,Miami Heat,111,Denver Nuggets,108,"19,537",Ball Arena,Playoffs
"Wed, Jun 7, 2023",8:30p,Denver Nuggets,109,Miami Heat,94,"20,019",Kaseya Center,Playoffs
"Fri, Jun 9, 2023",8:30p,Denver Nuggets,108,Miami Heat,95,"20,184",Kaseya Center,Playoffs
"Mon, Jun 12, 2023",8:30p,Miami Heat,89,Denver Nuggets,94,"19,537",Ball Arena,Playoffs
